공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
MFJ,Moala Island Airport,모알라 공항,대양주,Fiji,피지,Moala
MFF,Moanda Airport (Gabon),모안다 공항,아프리카,Gabon,가봉,Moanda
BFM,Mobile International Airport,모빌 다운타운 공항,북미,United States of America,미국,Mobile
MOB,Mobile Regional Airport,모빌 지역공항,북미,United States of America,미국,Mobile
MZB,Mocimboa da Praia Airport,모킴보아드프라이아 공항,아프리카,Mozambique,모잠비크,Mocimboa De Praia
MOD,Modesto City-County Airport,머데스토 시티 카운티 공항,북미,United States of America,미국,Modesto
MGQ,Mogadishu Aden Adde International Airport,모가디슈 국제공항,아프리카,Somalia,소말리아,Mogadishu
DIB,Dibrugarh Chabua Airport,모한바리 공항,아시아,India,인도,Mohanbari
MOH,Morowali Airport,모로왈리 공항,아시아,Indonesia,인도네시아,Mohanbari
MHV,Mojave Air and Space Port,모헤이브 스페이스포트,북미,United States of America,미국,Mohave
OHE,Mohe Gulian Airport,모헤 굴리안 공항,아시아,China,중국,Mohe
NWA,Moheli Bandar es Salam Airport,모헤리 반다르 에스 에슬람 공항,아프리카,Comoros,코모로,Moheli
MJD,Mohenjo Daro Airport,모헨조다로 공항,아시아,Pakistan,파키스탄,Mohenjo
MOL,Molde Aro Airport,아로 공항,유럽,Norway,노르웨이,Molde
MLI,Quad Cities International Airport,쾌드 시티즈 공항,북미,United States of America,미국,Moline
MBA,Mombasa Moi International Airport,모이 국제공항,아프리카,Kenya,케냐,Mombasa
MIR,Monastir Habib Bourguiba International Airport,후비브 부르기바 국제공항,아프리카,Tunisia,튀니지,Monastir
MBE,Monbetsu Airport,몬베쓰 공항,아시아,Japan,일본,Monbetsu
LOV,Monclova Venustiano Carranza International Airport,비너스티아노 카란자 국제공항,중남미,Mexico,멕시코,Monclova
YQM,Greater Moncton Romeo LeBlanc International Airport,그레이터 몽튼 국제공항,북미,Canada,캐나다,Moncton
MOG,Mong Hsat Airport,몽삿 공항,아시아,Myanmar,버마,Monghsat
MNR,Mongu,몽구 공항,아프리카,Zambia,잠비아,Mongu
MYZ,Monkey Bay Airport,멍키베이 공항,아프리카,Malawi,말라위,Monkey Bay
MNY,Mono Airport,모노 공항,대양주,Solomon Islands,솔로몬제도,Mono Island
MLW,Monrovia James Spriggs Payne Airport,스프릭 페연 공항,아프리카,Liberia,라이베리아,Monrovia
ROB,Monrovia Roberts International Airport,로버츠 국제공항,아프리카,Liberia,라이베리아,Monrovia
YYY,Mont Joli Airport,몬트조일 공항,북미,Canada,캐나다,Mont Joli
YMF,Montagne Harbor Airport,몽테뉴 하버 공항,북미,Canada,캐나다,Montagne Harbor
MTP,Montauk Airport,스카이 포탈 공항,북미,United States of America,미국,Montauk
MCM,Monte Carlo Heliport,모나코 헬리포트,유럽,Monaco,모나코,Monte Carlo
MBJ,Montego Bay Sangster International Airport,상스터 국제공항,중남미,Jamaica,자메이카,Montego Bay
MTB,Montelibano,몬텔리바노,중남미,Colombia,콜롬비아,Montelibano
MRY,Monterey Regional Airport,몬터레이 페닌슬라 공항,북미,United States of America,미국,Monterey
MTR,Monteria Los Garzones Airport,산 제로니모 공항,중남미,Colombia,콜롬비아,Monteria
MTY,Monterrey Escobedo International Airport,제너럴 마리아노 공항  ,중남미,Mexico,멕시코,Monterrey
NTR,Monterrey Del Norte International Airport,델 노트 공항,중남미,Mexico,멕시코,Monterrey
MOC,Montes Claros Airport,몬테클라로스 공항,중남미,Brazil,브라질,Montes Claros
MVD,Montevideo Carrasco Airport,체러스코 공항,중남미,Uruguay,우루과이,Montevideo
MGM,Montgomery Regional Airport,몽고메리  지역공항,북미,United States of America,미국,Montgomery
MXO,Monticello Regional Airport,몬티첼로 국제공항,북미,United States of America,미국,"Monticello, IA"
MPL,Montpellier Mediterranee Airport,메디테라니 공항,유럽,France,프랑스,Montpellier
YMX,Montreal Mirabel International Airport,미라벨 공항,북미,Canada,캐나다,Montreal
YUL,Montreal Pierre Elliott Trudeau International Airport,몬트리얼 피에르 엘리엇 트루도 국제공항,북미,Canada,캐나다,Montreal
MTJ,Montrose Regional Airport,몬트로즈 지역공항,북미,United States of America,미국,Montrose
MNI,Montserrat John A Osborne Airport,존 A 오스본공항,중남미,Montserrat,몬세라트,Montserrat
YTM,Mont Tremblant International Airport,리베에르 / 루지 몽 트랑블랑 국제공항,북미,Canada,캐나다,Mont-Tremblant
MBW,Melbourne Moorabbin Airport,무라빈 공항,대양주,Australia,오스트레일리아,Moorabbin
MOZ,Moorea Temae Airport,테마에 공항,대양주,French Polynesia,프랑스령폴리네시아,Moorea
YMO,Moosonee Airport,무소니 공항,북미,Canada,캐나다,Moosonee
MZI,Mopti Airport,바베 공항,아프리카,Mali,말리,Mopti
MXX,Mora Siljan Airport,모라 공항,유럽,Sweden,스웨덴,Mora
TVA,Morafenobe Airport,모라페노베 공항,아프리카,Madagascar,마다가스카르,Morafenobe
MOV,Moranbah Airport,모란바 공항,대양주,Australia,오스트레일리아,Moranbah
MRZ,Moree Airport,모리 공항,대양주,Australia,오스트레일리아,Moree
MLM,Morelia Airport,제너널 프란치스코 J. 뮤지카 국제공항,중남미,Mexico,멕시코,Morelia
MGW,Morgantown Municipal Airport,모르간타운 시공항,북미,United States of America,미국,Morgantown
HNA,Hanamaki Airport,하나마키 공항,아시아,Japan,일본,Morioka
MXN,Morlaix Ploujean Airport,모리아이스 플루쟁 공항,유럽,France,프랑스,Morlaix
ONG,Mornington Island Airport,모닝턴 아일랜드 공항,대양주,Australia,오스트레일리아,Mornington Island
MXH,Moro Airport,모로악리버 공항,대양주,Papua New Guinea,파푸아뉴기니,Moro
MXM,Morombe Airport,모롬베 공항,아프리카,Madagascar,마다가스카르,Morombe
MXV,Moron Airport,모론 공항,아시아,Mongolia,몽고,Moron
MOQ,Morondava Airport,모론다바 공항,아프리카,Madagascar,마다가스카르,Morondava
YVA,Moroni Iconi Airport,이코니 공항,아프리카,Comoros,코모로,Moroni
OTI,Morotai Island Pitu Airport,피투 공항,아시아,Indonesia,인도네시아,Morotai
MMU,Morristown Airport,모리스타운 시공항,북미,United States of America,미국,Morristown
MVL,Morrisville-Stowe State Airport,모리스빌 스토우 주립 공항,북미,United States of America,미국,Morrisville
MYA,Moruya Airport,모루야 공항,대양주,Australia,오스트레일리아,Moruya
DME,Moscow Domodedovo Airport,도모도데보 국제공항,유럽,Russian Federation,러시아,Moscow
OSF,Ostafyevo Airport,오스타피에보 국제공항,유럽,Russian Federation,러시아,Moscow
SVO,Moscow Sheremetyevo Airport,세레메티에포 국제공항,유럽,Russian Federation,러시아,Moscow
VKO,Moscow Vnukovo Airport,부누코프 공항,유럽,Russian Federation,러시아,Moscow
ZIA,Moscow Zhukovsky International Airport,모스크바 주코프스키 국제공항,유럽,Russian Federation,러시아,Moscow
KMY,Moser Bay Airport,모저베이 공항,북미,United States of America,미국,Moser Bay
MWH,Moses Lake Grant County International Airport,그랜트 카운티 국제공항,북미,United States of America,미국,Moses Lake
DUD,Dunedin Airport,두네딘 국제공항,대양주,New Zealand,뉴질랜드,Mosgiel
CWA,Central Wisconsin Airport,센트럴 위스콘신 공항,북미,United States of America,미국,Mosinee / Wausau
MJF,Mosjoen Kjaerstad Airport,키열스타트 공항,유럽,Norway,노르웨이,Mosjoen
RYG,Oslo Moss Rygge Airport,"모스공항, 리지/라이게 공항",유럽,Norway,노르웨이,Moss
MVF,Mossoro Airport,딕셉트 로자도 공항,중남미,Brazil,브라질,Mossoro
OMO,Mostar International Airport,모스타르 국제공항,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Mostar
OSM,Mosul International Airport,모술 국제공항,중동,Iraq,이라크,Mosul
MQQ,Moundou Airport,문두 공항,아프리카,Chad,차드,Moundou
MTC,Mount Clemens Selfridge AFB,마운트 클레멘스 셀프리지 AFB,북미,United States of America,미국,Mount Clemens
MGB,Mount Gambier Airport,마운트겜비어 공항,대양주,Australia,오스트레일리아,Mount Gambier
GPD,Mount Gordon Mine Airport,마운트 고든 광산 공항,대양주,Australia,오스트레일리아,Mount Gordon Mine
HGU,Mount Hagen Kagamuga Airport,카가무가 공항,대양주,Papua New Guinea,파푸아뉴기니,Mount Hagen
ISA,Mount Isa Airport,마운트이사 공항,대양주,Australia,오스트레일리아,Mount Isa
WME,Mount Keith Airport,마운트 키스 공항,대양주,Australia,오스트레일리아,Mount Keith
JRO,Kilimanjaro Airport,킬리만자로 국제공항  ,아프리카,Tanzania,탄자니아,Mount Kilimanjaro
MMG,Mount Magnet Airport,마운트마그넷 공항,대양주,Australia,오스트레일리아,Mount Magnet
MUO,Mountain Home Air Force Base,마운틴홈 공군기지,북미,United States of America,미국,Mountain Home
OYG,Moyo Airport,모요 공항,아프리카,Uganda,우간다,Moyo
MPA,Mpacha Katima Mulilo Airport,엠파챠 공항,아프리카,Namibia,나미비아,Mpacha
MYW,Mtwara Airport,므타라 공항,아프리카,Tanzania,탄자니아,Mtwara
MWX,Muan International Airport,무안 국제공항,아시아,South Korea,대한민국,Muan
MDG,Mudanjiang Hailang International Airport,무단장  공항,아시아,China,중국,Mudanjiang
DGE,Mudgee Airport,머지 공항,대양주,Australia,오스트레일리아,Mudgee
DLM,Dalaman Airport,달라만 공항,유럽,Turkey,터키,Mugla
MKM,Mukah Airport,무카 공항,아시아,Malaysia,말레이시아,Mukah
RIY,Riyan Airport,리얀 공항,중동,Yemen,예멘,Mukalla
UKH,Mukhaizna Airport,무카이즈나 공항,중동,Oman,오만,Mukhaizna Oil Field
MPP,Mulatupo Airport,물라투포 공항,중남미,Panama,파나마,Mulatupo
MLH,EuroAirport Basel/Mulhouse/Freiburg French,유로 공항 ,유럽,France,프랑스,Mulhouse/  Basel /  Freiburg
JJM,Meru-Kiina Airport,메루키나 공항,아프리카,Kenya,케냐,Mulika
MUX,Multan Airport,물탄 국제공항,아시아,Pakistan,파키스탄,Multan
MZV,Mulu Airport,무루 공항,아시아,Malaysia,말레이시아,Mulu
BOM,Mumbai Chhatrapati Shivaji Maharaj International Airport,채해트라피티 시버지 국제공항,아시아,India,인도,Mumbai
MUA,Munda Airport,문다 공항,대양주,Solomon Islands,솔로몬제도,Munda
AGB,Munich Augsburg Airport,아우스버그 무엘하우젠 공항,유럽,Germany,독일,Munich
MUC,Munich Airport,뮌헨 국제공항,유럽,Germany,독일,Munich
MJV,Murcia San Javier Airport,산자비에 공항,유럽,Spain,스페인,Murcia
RMU,Murcia Corvera International Airport,무르시아 지역 국제공항,유럽,Spain,스페인,MURCIA
MMK,Murmansk Airport,무르만스크 공항,유럽,Russian Federation,러시아,Murmansk
MYI,Murray Island Airport,머레이 아일랜드 공항,대양주,Australia,오스트레일리아,Murray Island
UOA,Moruroa Atoll Airport,모루로아 환초 공항,대양주,French Polynesia,프랑스령폴리네시아,Mururoa Atoll
MSR,Mus Airport,무슈 공항,유럽,Turkey,터키,Mus
OIT,Oita Airport,오이타 공항,아시아,Japan,일본,Musashi
MCT,Muscat International Airport,시이브 국제공항,중동,Oman,오만,Muscat
MSL,Muscle Shoals Northwest Alabama Regional Airport,노스 알래바마 지역공항,북미,United States of America,미국,Muscle Shoals
MKG,Muskegon County Airport,머스키간 카운티 공항,북미,United States of America,미국,Muskegon
YQA,Muskoka Airport,무스코카 공항,북미,Canada,캐나다,Muskoka
MSA,Muskrat Dam Airport,무스크랏담 공항,북미,Canada,캐나다,Muskrat Dam
MUZ,Musoma Airport,무소마 공항,아프리카,Tanzania,탄자니아,Musoma
MZA,Muzaffarnagar Airport,낸시 플로어 공항,아시아,India,인도,Muzaffarnagar
MZU,Muzaffarpur Airport,무자파르푸르 공항,아시아,India,인도,Muzzafarpur
MWZ,Mwanza Airport,므완자 공항,아프리카,Tanzania,탄자니아,Mwanza
MGZ,Myeik Airport,미에익 공항,아시아,Myanmar,버마,Myeik
MYT,Myitkyina Airport,미치나 공항,아시아,Myanmar,버마,Myitkyina
NLV,Mykolaiv International Airport,미콜라이프 공항,유럽,Ukraine,우크라이나,Mykolaiv
JMK,Mykonos Manto Mavrogenous Airport,미코노스 아일랜드 내셔널 공항,유럽,Greece,그리스,Mykonos ( Mikonos )
MYR,Myrtle Beach International Airport,머틀 비치 국제공항,북미,United States of America,미국,Myrtle
YMK,Mys-Kamenny Airport,미즈카메니 공항,유럽,Russian Federation,러시아,Mys Kamennyi
MYQ,Mysore Airport (Mysuru Airport),마이소르 공항,아시아,India,인도,Mysore
MJT,Mytilini Odysseas Elytis Airport,미틸렌 국제공항 ,유럽,Greece,그리스,Mytilene (Mitilini)
ZZU,Mzuzu Airport,음주 공항,아프리카,Malawi,말라위,Mzuzu
NBX,Nabire Airport,나비레 공항,아시아,Indonesia,인도네시아,Nabire
MNC,Nacala Airport,나칼라 공항,아프리카,Mozambique,모잠비크,Nacala
NAN,Nadi International Airport,나디 국제공항,대양주,Fiji,피지,Nadi
NDR,Nador El Aroui Airport,나도르 국제공항 ,아프리카,Morocco,모로코,Nador
NYM,Nadym Airport,나임 공항,유럽,Russian Federation,러시아,Nadym
WNP,Naga Airport,나가 공항,아시아,Philippines,필리핀,Naga / Pili
NGO,Nagoya Chubu Centrair International Airport,주부 센트에어 국제공항  ,아시아,Japan,일본,Nagoya
NKM,Nagoya Komaki Airport,코마키 공항,아시아,Japan,일본,Nagoya
NAG,Nagpur Sonegaon Airport,암베드카 국제공항 ,아시아,India,인도,Nagpur
NAH,Tahuna Naha Airport,나하 공항,아시아,Indonesia,인도네시아,Naha
YDP,Nain Airport,나인 공항,북미,Canada,캐나다,Nain
NBO,Nairobi Jomo Kenyatta International Airport,조모 케냐타 국제공항,아프리카,Kenya,케냐,Nairobi
WIL,Nairobi Wilson Airport,윌슨 공항,아프리카,Kenya,케냐,Nairobi
NJF,Al Najaf Al-Ashraf International Airport,알나자프 알아슈라프 국제공항,중동,Iraq,이라크,Najaf
EAM,Najran Airport,네란 국내공항,중동,Saudi Arabia,사우디아라비아,Najran ( Nejran )
SHB,Nakashibetsu Airport,나가시베쓰 공항,아시아,Japan,일본,Nakashibetsu
NAJ,Nakhchivan Airport,나히체반 공항,유럽,Azerbaijan,아제르바이잔,Nakhichevan
KOP,Nakhon Phanom Airport,나콘파놈 공항,아시아,Thailand,태국,Nakhon Phanom
NAK,Nakhon Ratchasima Airport,낙혼랏챠시마 공항,아시아,Thailand,태국,Nakhon Ratchasima ( Khorat )
NST,Nakhon Si Thammarat Airport,나콘시탐마랏 공항,아시아,Thailand,태국,Nakhon Si Thammarat
YQN,Nakina Airport,난키나 공항,북미,Canada,캐나다,Nakina
NUU,Nakuru Airport,나쿠루 공항,아프리카,Kenya,케냐,Nakuru
NLT,Xinyuan Nalati Airport,신유안 날라티 공항,아시아,China,중국,Nalati
NAL,Nalchik Airport,날칙 공항,유럽,Russian Federation,러시아,Nalchik
NMA,Namangan Airport,나망간 공항,아시아,Uzbekistan,우즈베키스탄,Namangan
MSZ,Namibe Welwitschia Mirabilis Airport,나미비 공항,아프리카,Angola,앙골라,Namibe
NAM,Namlea Namniwel Airport,남레아 공항,아시아,Indonesia,인도네시아,Namlea
NDK,Namorik Island Airport,나모리크 섬 공항,대양주,Marshall Islands,마셜제도,Namorik Atoll
APL,Nampula International Airport,남풀라 공항,아프리카,Mozambique,모잠비크,Nampula
NRE,Namrole Airport,남로레 공항,아시아,Indonesia,인도네시아,Namrole-Buru Island
NMS,Namsang Airport,남상 공항,아시아,Myanmar,버마,Namsang
OSY,Namsos Airport,남소스 공항,유럽,Norway,노르웨이,Namsos
NNT,Nan Nhakon Airport,난 공항,아시아,Thailand,태국,Nan
YCD,Nanaimo Airport,너나이모 공항,북미,Canada,캐나다,Nanaimo
ZNA,Nanaimo Harbour Water Airport,나나이모 항만 워터 공항,북미,Canada,캐나다,Nanaimo
KHN,Nanchang Changbei International Airport,난창  국제공항,아시아,China,중국,Nanchang
NAO,Nanchong Gaoping Airport,난충  공항,아시아,China,중국,Nanchong
PBP,Punta Islita Airport,푼타 이슬리타 공항,중남미,Costa Rica,코스타리카,Nandayure
NDC,Nanded Airport,난데드 공항,아시아,India,인도,Nanded
LZN,Matsu Nangan Airport,낭안 공항,아시아,Taiwan,대만,Nangan 
YSR,Nanisivik Airport,나니시빅 공항,북미,Canada,캐나다,Nanisivik
NKG,Nanjing Lukou International Airport,난징  루쿠 국제공항,아시아,China,중국,Nanjing
KCZ,Kochi Ryoma Airport,고치 공항,아시아,Japan,일본,Nankoku
NNG,Nanning Wuxu International Airport,난닝 웍슈 국제공항,아시아,China,중국,Nanning
JNN,Nanortalik Airport,나노탈릭 공항,유럽,Greenland,그린란드,Nanortalik
QUV,Nanortalik Heliport,나나르탈리크 헬리포트,유럽,Greenland,그린란드,Nanortalik
NTE,Nantes Atlantique Airport,아틀란티끄 공항,유럽,France,프랑스,Nantes
NTG,Nantong Xingdong Airport,난퉁 신동 공항,아시아,China,중국,Nantong
ACK,Nantucket Memorial Airport,낸터켓 미모리얼 공항,북미,United States of America,미국,Nantucket
KEB,Nanwalek Airport,난왈렉 공항,북미,United States of America,미국,Nanwalek
NNY,Nanyang Jiangying Airport,난양  공항,아시아,China,중국,Nanyang
NYK,Nanyuki Airport,난유키 공항,아프리카,Kenya,케냐,Nanyuki
APC,Napa County Airport,내퍼 카운티 공항,북미,United States of America,미국,Napa
WNA,Napakiak Sea Plane Base,나파키악 해면 기지,북미,United States of America,미국,Napakiak
PKA,Napaskiak Sea Plane Base,나파스키아크 해상 비행기 기지,북미,United States of America,미국,Napaskiak
NPE,Napier Hawke's Bay Airport,호크스 베이 공항,대양주,New Zealand,뉴질랜드,Napier-Hastings
APF,Naples Airport,나폴리 /나포리 시공항,북미,United States of America,미국,Naples
NAP,Naples Capodichino Airport,나폴리 국제공항,유럽,Italy,이탈리아,Naples
NAU,Napuka Island Airport,나푸카 공항,대양주,French Polynesia,프랑스령폴리네시아,Napuka
NAC,Naracoorte,나라쿠테 공항,대양주,Australia,오스트레일리아,Naracoorte
NAW,Narathiwat Airport,나라티왓 공항,아시아,Thailand,태국,Narathiwat
NAA,Narrabri Airport,나라브리 공항,대양주,Australia,오스트레일리아,Narrabri
NRA,Narrandera Airport,나란데라 공항,대양주,Australia,오스트레일리아,Narrandera
JNS,Narsaq Heliport,나삭 공항,유럽,Greenland,그린란드,Narsaq
QFN,Narsaq Kujalleq Heliport,나르사크 쿠얄레크 헬리포트,유럽,Greenland,그린란드,Narsaq Kujalleq
UAK,Narsarsuaq Airport,나사수악 공항,유럽,Greenland,그린란드,Narssarssuaq
NVK,Narvik Framnes Airport,프람네스 공항,유럽,Norway,노르웨이,Narvik
NNM,Naryan-Mar Airport,나르산-마 공항,유럽,Russian Federation,러시아,Naryan-Mar
BNA,Nashville International Airport,내슈빌 국제공항,북미,United States of America,미국,Nashville
ISK,Nashik Ozar Airport,간디나가르 공항,아시아,India,인도,Nasik
NAS,Nassau Lynden Pindling International Airport,나사우 국제공항,중남미,Bahamas,바하마,Nassau
NAT,Natal Aluizio Alves International Airport,아우구스토 세베로 공항,중남미,Brazil,브라질,Natal
YNA,Natashquan Airport,나타쉬칸 공항,북미,Canada,캐나다,Natashquan
SDJ,Sendai Airport,센다이 공항,아시아,Japan,일본,Natori
YNP,Natuashish Airport,나투아시시 공항,북미,Canada,캐나다,Natuashish
NTX,Natuna Ranai Airport,라나이 공항,아시아,Indonesia,인도네시아,Natuna
INU,Nauru International Airport,나우루제도 국제공항,대양주,Nauru,나우루,Nauru Island
NVT,Navegantes Airport,미니스터 빅토 컨더 국제공항,중남미,Brazil,브라질,Navegantes
NVI,Navoi Airport,나보이 국제공항,아시아,Uzbekistan,우즈베키스탄,Navoiy
WNS,Nawabshah Airport,나왑샤 공항,아시아,Pakistan,파키스탄,Nawabshah
JNX,Naxos Airport,낙소스 아일랜드 내셔널 공항,유럽,Greece,그리스,Naxos
NYT,Nay Pyi Taw International Airport,네이피타우 국제공항,아시아,Myanmar,버마,Naypyidaw
KDN,Khanidanda Airport,엔덴데 공항,아시아,Nepal,네팔,Ndende
NDJ,N'Djamena Airport,은자메나 국제공항,아프리카,Chad,차드,N'Djamena
NLA,Ndola Simon Mwansa Kapwepwe International Airport,은돌라 공항,아프리카,Zambia,잠비아,Ndola
NEC,Necochea Airport,네코체아 공항,중남미,Argentina,아르헨티나,Necochea
NEG,Negril Airport,네그릴 공항,중남미,Jamaica,자메이카,Negril
NVA,Neiva Benito Salas Airport,라 마르귀타 공항,중남미,Colombia,콜롬비아,Neiva
NSN,Nelson Airport,넬슨 공항,대양주,New Zealand,뉴질랜드,Nelson
NLG,Nelson Lagoon Airport,넬슨 라군 공항,북미,United States of America,미국,Nelson Lagoon
MQP,Kruger Mpumalanga International Airport,쿠루거 음푸마랑가 국제공항,아프리카,South Africa,남아프리카,Nelspruit
EMN,Nema Airport,네마 공항,아프리카,Mauritania,모리타니,Nema
YNS,Nemiscau Airport,네마스카 공항,북미,Canada,캐나다,Nemaska
NUM,Neom Bay Airport,네옴베이 공항,중동,Saudi Arabia,사우디아라비아,Neom 
KEP,Nepalganj Airport,네팔가니 공항,아시아,Nepal,네팔,Nepalgunj
CNP,Neerlerit Inaat Airport,네러릿 이낫 공항 ,유럽,Greenland,그린란드,Nerlerit Inaat
FNB,Neubrandenburg Airport,노이브란덴부르크 공항,유럽,Germany,독일,Neubrandenburg
NQN,Neuquen Presidente Peron International Airport,네우켄 공항,중남미,Argentina,아르헨티나,Neuquen
NEV,Nevis Vance W Amory Airport,반스 W. 아모리 국제공항,중남미,Saint Kitts and Nevis,세인트키츠네비스,Nevis
NAV,Nevsehir Kapadokya Airport,네브셰히르 공항,유럽,Turkey,터키,Nevsehir
EWB,New Bedford Regional Airport,뉴베드퍼드 지역공항,북미,United States of America,미국,New Bedford
EWN,Coastal Carolina Regional Airport,시몬스 노트 ,북미,United States of America,미국,New Bern
HVN,Tweed New Haven Airport,트위드 뉴해븐 지역공항,북미,United States of America,미국,New Haven
ARA,Acadiana Regional Airport,아카디아나 지역공항,북미,United States of America,미국,New Iberia
MSY,New Orleans Louis Armstrong International Airport,루이 암스트롱 국제공항 ,북미,United States of America,미국,New Orleans
NEW,New Orleans Lakefront Airport,레이크프론트 공항,북미,United States of America,미국,New Orleans
NPL,New Plymouth Airport,뉴플리머스 공항,대양주,New Zealand,뉴질랜드,New Plymouth
KNW,New Stuyahok Airport,뉴스투야혹 공항,북미,United States of America,미국,New Stuyahok
UVL,El Kharga Airport,카르가 공항,아프리카,Egypt,이집트,New Valley
JFK,New York John F Kennedy International Airport,존 F. 케네디 국제공항,북미,United States of America,미국,New York
LGA,New York LaGuardia Airport,라구아디아 국제공항,북미,United States of America,미국,New York
EWR,New York Newark Liberty International Airport,뉴왁 리버티 국제공항,북미,United States of America,미국,Newark & Elizabeth
SWF,New York Stewart International Airport,스튜어트 공항,북미,United States of America,미국,Newburgh
BEO,Lake Macquarie Airport,벨먼트 공항,대양주,Australia,오스트레일리아,Newcastle
NCS,Newcastle Airport (South Africa),뉴캐슬 공항,아프리카,South Africa,남아프리카,Newcastle
NTL,Newcastle Williamtown Airport,윌리암타운 공항,대양주,Australia,오스트레일리아,Newcastle
NCL,Newcastle International Airport,뉴캐슬 국제공항,유럽,United Kingdom,영국,Newcastle upon Tyne
ZNE,Newman Airport,뉴먼 공항,대양주,Australia,오스트레일리아,Newman
NPT,Newport State Airport,뉴포트 스테이트 공항 ,북미,United States of America,미국,Newport
ONP,Newport Municipal Airport,뉴포트 시공항,북미,United States of America,미국,Newport
PHF,Newport News Williamsburg International Airport,뉴포트 뉴스 / 윌리암스버그 국제공항,북미,United States of America,미국,Newport News
NQY,Cornwall Airport Newquay,세인트 마건 공군기지,유럽,United Kingdom,영국,Newquay
WWT,Newtok Airport,뉴톡 공항,북미,United States of America,미국,Newtok
NGL,Ngala Airport,웅갈라 에어필드,아프리카,South Africa,남아프리카,Ngala
NGE,Ngaoundere Airport,음 게운데레 공항,아프리카,Cameroon,카메룬,N'Gaoundere
NGQ,Ngari Gunsa Airport,은리군사 공항,아시아,China,중국,Ngari
CXR,Nha Trang Cam Ranh Airport,캄 라흐 공항,아시아,Vietnam,베트남,Nha Trang
IAG,Niagara Falls International Airport,나이아가라폴스 국제공항,북미,United States of America,미국,Niagara Falls
NIM,Niamey Airport,디오리 히머니 국제공항,아프리카,Niger,니제르,Niamey
LRL,Niamtougou International Airport,니암투구 공항,아프리카,Togo,토고,Niamtougou
QMK,Niaqornaarsuk Heliport,니아코르나르숙 헬리포트,유럽,Greenland,그린란드,Niaqornaarsuk
NCE,Nice Cote d'Azur Airport,코트 다쥐르 공항,유럽,France,프랑스,Nice
NOB,Nosara Beach Airport,노사라비치 공항,중남미,Costa Rica,코스타리카,Nicoya
TMU,Tambor Airport,탐보르 공항,중남미,Costa Rica,코스타리카,Nicoya
NME,Nightmute Airport,나이트무트 공항,북미,United States of America,미국,Nightmute
KIJ,Niigata Airport,니가타 /키가타 공항,아시아,Japan,일본,Niigata
NIB,Nikolai Airport,니콜라이 공항,북미,United States of America,미국,Nikolai
NLI,Nikolayevsk-na-Amure,니콜라이에프스-에-아무르 공항,유럽,Russian Federation,러시아,Nikolayevsk-on-Amur
IKO,Nikolski Air Force Station,니콜스키 공군기지,북미,United States of America,미국,Nikolski
NIG,Nikunau Airport,니쿠나우 공항,대양주,Kiribati,키리바시,Nikunau
FNI,Nimes Grande Provence Mediterranee Airport,님 아를 카마규 공항,유럽,France,프랑스,Nimes
NGB,Ningbo Lishe International Airport,닝보  리쉬 국제공항,아시아,China,중국,Ningbo
INI,Nis Konstantin Veliki Airport,니스 국제공항,유럽,Serbia,세르비아,Nis
NFO,Mata'Aho,마타아호 공항,대양주,Tonga,통가,Niuafo'Ou
NTT,Niuatoputapu,쿠이니 라베니아 공항,대양주,Tonga,통가,Niuatoputapu
NBC,Nizhnekamsk Begishevo Airport,베지쉐프 공항,유럽,Russian Federation,러시아,Nizhnekamsk
NJC,Nizhnevartovsk Airport,니즈네바토브스크 공항,유럽,Russian Federation,러시아,Nizhnevartovsk
GOJ,Nizhny Novgorod International Airport,스트리기노 공항,유럽,Russian Federation,러시아,Nizhny Novgorod
JOM,Njombe Airport,놈베 공항,아프리카,Tanzania,탄자니아,Njombe
NKY,Nkayi Yokangassi Airport,요캉가시 공항,아프리카,Republic of the Congo,콩고공화국,Nkayi
NKL,Nkolo Fuma Airport,음콜로 푸마 공항,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Nkolo Fuma
WTK,Noatak Airport,노아탁 공항,북미,United States of America,미국,Noatak
NOG,Nogales International Airport,노갈레스 국제공항,중남미,Mexico,멕시코,Nogales
NGK,Nogliki Airport,노글리키 공항,유럽,Russian Federation,러시아,Nogliki-Sakhalin Island
OME,Nome Airport,놈 공항,북미,United States of America,미국,Nome
NNL,Nondalton,논달튼,북미,United States of America,미국,Nondalton
NON,Nonouti Airport,노누티 공항,대양주,Kiribati,키리바시,Nonouti
ORV,Noorvik Curtis Memorial Airport,커티스 미모리얼 공항,북미,United States of America,미국,Noorvik
NRD,Norderney Airport,노더니 공항,유럽,Germany,독일,Norderney
FCN,Cuxhaven Nordholz Airport,쿡스하픈 공항,유럽,Germany,독일,Nordholz-Spieka
SOJ,Sorkjosen Airport,쇠르쿄젠 공항,유럽,Norway,노르웨이,Nordreisa
ORF,Norfolk International Airport,노퍽 국제공항,북미,United States of America,미국,Norfolk
NLK,Norfolk Island Airport,노포크아일랜드 공항,대양주,Norfolk Island,노퍽 아일랜드,Norfolk Island
NSK,Norilsk Alykel Airport,노릴 공항,유럽,Russian Federation,러시아,Norilsk
YVQ,Norman Wells Airport,노먼 웰즈 공항,북미,Canada,캐나다,Norman Wells
